n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
30,10,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
10,10,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
20,30,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
10,30,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
10,20,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
10,30,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,1,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
10,10,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,2,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,2,10,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,2,10,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,2,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,2,10,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,2,10,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,2,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,1,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,1,30,1.0,1.0,1.0,1.0,1.0
10,20,sqrt,2,1,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,2,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,1,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,1,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,2,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,2,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,2,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,2,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
20,30,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,2,20,1.0,1.0,1.0,1.0,1.0
20,30,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,2,20,1.0,1.0,1.0,1.0,1.0
10,10,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
10,20,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
10,30,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
20,10,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
20,20,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
20,20,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,1,20,1.0,1.0,1.0,1.0,1.0
10,10,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
10,20,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
10,30,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
20,10,log2,2,1,20,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,2,20,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,2,10,1.0,1.0,1.0,1.0,1.0
30,30,log2,2,1,10,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,2,10,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,2,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,1,10,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,2,30,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,2,30,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,2,1,10,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,5,1,10,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,2,10,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,5,1,10,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,5,1,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,1,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,5,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,2,30,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,2,30,1.0,1.0,1.0,1.0,1.0
30,20,log2,5,1,10,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,2,10,1.0,1.0,1.0,1.0,1.0
30,30,log2,5,1,10,1.0,1.0,1.0,1.0,1.0
30,10,sqrt,2,1,10,1.0,1.0,1.0,1.0,1.0
30,30,sqrt,2,1,10,1.0,1.0,1.0,1.0,1.0
30,20,sqrt,2,1,10,1.0,1.0,1.0,1.0,1.0
30,10,log2,2,2,10,1.0,1.0,1.0,1.0,1.0
10,30,sqrt,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,20,log2,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,30,log2,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,30,sqrt,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,20,sqrt,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,10,sqrt,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,10,sqrt,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,20,sqrt,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,10,log2,5,1,30,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,10,log2,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,20,log2,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
10,30,log2,5,1,20,0.96875,0.9655172413793104,0.9333333333333333,1.0,1.0
20,20,log2,5,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,10,log2,5,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,30,sqrt,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,30,log2,2,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,30,sqrt,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,sqrt,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,10,sqrt,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,10,log2,2,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,log2,2,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,10,log2,5,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,30,log2,5,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,20,log2,5,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,30,log2,5,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,30,sqrt,5,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,10,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,sqrt,2,2,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,20,sqrt,5,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,30,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,20,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
10,30,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,30,log2,5,1,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,log2,5,1,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,10,log2,5,1,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,10,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,log2,2,1,10,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
20,20,sqrt,5,1,20,0.96875,0.9629629629629629,1.0,0.9285714285714286,1.0
