hidden_dim,lr,epochs,batch_size,dropout,num_heads,num_layers,accuracy,f1_score,auc_roc
128.0,0.001,10.0,32.0,0.2,4.0,2.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,10.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,20.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,20.0,64.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8541666666666666
128.0,0.001,10.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.875
128.0,0.001,20.0,64.0,0.3,4.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,10.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,20.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,20.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8541666666666666
256.0,0.0005,20.0,32.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.875
128.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8541666666666666
256.0,0.0005,10.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,20.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,20.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8541666666666666
256.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8541666666666666
256.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.875
256.0,0.001,20.0,64.0,0.3,4.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,10.0,32.0,0.2,4.0,2.0,0.8421052631578947,0.4,0.8541666666666666
128.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,10.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,20.0,32.0,0.2,8.0,4.0,0.6842105263157895,0.4,0.8541666666666666
128.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,20.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.875
256.0,0.0005,20.0,32.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,10.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.875
128.0,0.001,20.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8541666666666666
256.0,0.001,20.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,20.0,64.0,0.2,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.875
128.0,0.0005,10.0,32.0,0.3,8.0,4.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,20.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.875
128.0,0.0005,20.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,20.0,64.0,0.2,4.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.875
256.0,0.001,10.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333334
256.0,0.0005,10.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,20.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,20.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,20.0,64.0,0.2,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
128.0,0.001,10.0,32.0,0.3,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.001,10.0,32.0,0.3,8.0,6.0,0.8421052631578947,0.4,0.8333333333333333
256.0,0.0005,10.0,32.0,0.3,8.0,6.0,0.8421052631578947,0.4,0.875
