depth,dim,heads,dropout,ffn_d_hidden,residual_dropout,n_blocks,d_token,accuracy,f1_score,precision,recall,auc_roc
5.0,64.0,2.0,0.2,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.49350649350649345
3.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896105
5.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5324675324675324
3.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5974025974025974
5.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.46753246753246747
5.0,64.0,2.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5454545454545454
3.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714
3.0,64.0,4.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714
5.0,32.0,4.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5064935064935064
3.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5064935064935064
5.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
3.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,32.0,2.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6753246753246753
5.0,64.0,2.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5974025974025974
3.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714
3.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6883116883116883
5.0,32.0,4.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376623
3.0,32.0,2.0,0.2,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
5.0,32.0,4.0,0.2,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6883116883116883
3.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,64.0,4.0,0.2,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
3.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6883116883116882
5.0,32.0,2.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,64.0,2.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
3.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,32.0,4.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5584415584415584
3.0,64.0,4.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5844155844155844
5.0,64.0,4.0,0.3,6.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714
3.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,2.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5974025974025974
5.0,64.0,2.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6883116883116883
3.0,32.0,4.0,0.1,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506492
3.0,64.0,2.0,0.1,4.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5974025974025974
3.0,32.0,2.0,0.1,4.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5324675324675324
5.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5324675324675324
3.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
3.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
5.0,32.0,4.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,64.0,4.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.3896103896103896
3.0,32.0,2.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.7012987012987012
3.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.49350649350649356
5.0,64.0,2.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6883116883116883
5.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5194805194805194
3.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5194805194805194
3.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.4675324675324675
5.0,32.0,4.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,64.0,4.0,0.1,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376622
3.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.41558441558441556
3.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.41558441558441556
5.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766233
3.0,64.0,2.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,64.0,2.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5844155844155845
3.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,32.0,2.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
5.0,64.0,2.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714
3.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.4545454545454545
3.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.49350649350649345
5.0,32.0,4.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.4155844155844156
5.0,64.0,4.0,0.1,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5584415584415584
3.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5584415584415584
3.0,32.0,2.0,0.3,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,32.0,2.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376622
5.0,64.0,2.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5324675324675324
3.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
3.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5194805194805194
5.0,32.0,4.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6363636363636364
5.0,64.0,4.0,0.2,4.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,32.0,2.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6753246753246753
3.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376623
5.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.41558441558441556
5.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
3.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376623
3.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
5.0,32.0,2.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896103
5.0,64.0,2.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5844155844155844
3.0,32.0,4.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5584415584415584
3.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5974025974025974
5.0,64.0,4.0,0.2,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.40259740259740256
5.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376623
3.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5454545454545454
3.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6623376623376623
5.0,32.0,2.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,64.0,2.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.4025974025974026
3.0,32.0,4.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.49350649350649345
3.0,64.0,4.0,0.3,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5584415584415585
3.0,64.0,4.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
3.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.7012987012987013
3.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,4.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5844155844155844
5.0,64.0,4.0,0.2,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5324675324675325
3.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,2.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.5064935064935064
5.0,64.0,2.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.7012987012987013
3.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,32.0,4.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,32.0,4.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.46753246753246747
5.0,64.0,4.0,0.3,6.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6493506493506493
3.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6103896103896104
5.0,32.0,2.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.6233766233766234
5.0,64.0,2.0,0.1,8.0,0.0,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.7012987012987013
5.0,64.0,4.0,0.3,8.0,0.1,2.0,8.0,0.6111111111111112,0.0,0.0,0.0,0.49350649350649345
